record_type,player_id,school,season,jersey,name,position,is_goalkeeper,class_year,hometown,height,weight,previous_school,game_id,date,opponent,score,location,conference,division,games_played,games_started,minutes,goals,assists,shots,shots_on_goal,fouls,yellow_cards,red_cards,saves,goals_against,save_percentage,shutouts
player,Harding_2024_player_12,Harding,2024,12,Henrique Torres,Field Player,false,,,,,,,,,,,,,,,,,,,,,,,,,,
player_game_stat,Harding_2024_player_12,Harding,2024,,,,,,,,,,Harding_2024_game_004,10/03/24,SOUTHERN NAZARENE,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_12,Harding,2024,,,,,,,,,,Harding_2024_game_014,11/07/24,OUACHITA,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player,Harding_2024_player_13,Harding,2024,13,Ervin Shala,Field Player,false,,,,,,,,,,,,,,,,,,,,,,,,,,
player_game_stat,Harding_2024_player_13,Harding,2024,,,,,,,,,,Harding_2024_game_001,09/05/24,UNION (TN),,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_13,Harding,2024,,,,,,,,,,Harding_2024_game_006,10/10/24,NEWMAN,,,,,*,0 ,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_13,Harding,2024,,,,,,,,,,Harding_2024_game_009,10/19/24,ROGERS ST.,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_13,Harding,2024,,,,,,,,,,Harding_2024_game_010,10/24/24,at Fort Hays St.,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_13,Harding,2024,,,,,,,,,,Harding_2024_game_011,10/26/24,at Newman,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_13,Harding,2024,,,,,,,,,,Harding_2024_game_013,11/02/24,at Southern Nazarene,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_13,Harding,2024,,,,,,,,,,Harding_2024_game_014,11/07/24,OUACHITA,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_13,Harding,2024,,,,,,,,,,Harding_2024_game_012,11/09/24,at Northeastern St.,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player,Harding_2024_player_14,Harding,2024,14,Daxx Dodson,Field Player,false,,,,,,,,,,,,,,,,,,,,,,,,,,
player_game_stat,Harding_2024_player_14,Harding,2024,,,,,,,,,,Harding_2024_game_001,09/05/24,UNION (TN),,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_14,Harding,2024,,,,,,,,,,Harding_2024_game_002,09/10/24,MISSISSIPPI COL.,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_14,Harding,2024,,,,,,,,,,Harding_2024_game_007,10/12/24,FORT HAYS ST.,,,,,* ,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_14,Harding,2024,,,,,,,,,,Harding_2024_game_008,10/17/24,at Ouachita,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_14,Harding,2024,,,,,,,,,,Harding_2024_game_009,10/19/24,ROGERS ST.,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_14,Harding,2024,,,,,,,,,,Harding_2024_game_010,10/24/24,at Fort Hays St.,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_14,Harding,2024,,,,,,,,,,Harding_2024_game_011,10/26/24,at Newman,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_14,Harding,2024,,,,,,,,,,Harding_2024_game_013,11/02/24,at Southern Nazarene,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_14,Harding,2024,,,,,,,,,,Harding_2024_game_014,11/07/24,OUACHITA,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player,Harding_2024_player_15,Harding,2024,15,Dylan Chambers,Field Player,false,,,,,,,,,,,,,,,,,,,,,,,,,,
player_game_stat,Harding_2024_player_15,Harding,2024,,,,,,,,,,Harding_2024_game_001,09/05/24,UNION (TN),,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_15,Harding,2024,,,,,,,,,,Harding_2024_game_007,10/12/24,FORT HAYS ST.,,,,,* ,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_15,Harding,2024,,,,,,,,,,Harding_2024_game_010,10/24/24,at Fort Hays St.,,,,,*,0 ,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_15,Harding,2024,,,,,,,,,,Harding_2024_game_011,10/26/24,at Newman,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_15,Harding,2024,,,,,,,,,,Harding_2024_game_013,11/02/24,at Southern Nazarene,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_15,Harding,2024,,,,,,,,,,Harding_2024_game_014,11/07/24,OUACHITA,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_15,Harding,2024,,,,,,,,,,Harding_2024_game_012,11/09/24,at Northeastern St.,,,,,*,0,0,0,0,0,0,0,0,0,,,,
player,Harding_2024_player_16,Harding,2024,16,Brandon Southard,Field Player,false,,,,,,,,,,,,,,,,,,,,,,,,,,
